Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRB48,16.75,Regular,0.041599644,Soft Drinks,40.98,OUT010,1998,Tier 3,Grocery Store,157.13
DRC01,5.92,Regular,0.019308607,Soft Drinks,49.07,OUT017,2007,Tier 2,Supermarket Type1,1478.08
DRC01,5.92,Regular,0.019238942,Soft Drinks,49.87,OUT045,2002,Tier 2,Supermarket Type1,1133.19
DRC01,5.92,Regular,0.019107027,Soft Drinks,48.47,OUT027,1985,Tier 3,Supermarket Type3,1034.65
DRC01,5.92,Regular,0.019184026,Soft Drinks,50.37,OUT013,1987,Tier 3,Supermarket Type1,591.23
DRC01,5.92,Regular,0.019200003,Soft Drinks,47.77,OUT046,1997,Tier 1,Supermarket Type1,492.69
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.27,OUT018,2009,Tier 3,Supermarket Type2,443.42
DRC12,17.85,Low fat,0.038040837,Soft Drinks,189.12,OUT017,2007,Tier 2,Supermarket Type1,3237.12
DRC12,17.85,Low fat,0.03781972,Soft Drinks,191.62,OUT035,2004,Tier 2,Supermarket Type1,2475.44
DRC12,17.85,Low fat,0.037826873,Soft Drinks,189.72,OUT046,1997,Tier 1,Supermarket Type1,2285.03
DRC12,17.85,Low fat,0.037885683,Soft Drinks,190.42,OUT049,1999,Tier 1,Supermarket Type1,952.09
DRC13,8.26,Regular,0.032435437,Soft Drinks,124.87,OUT035,2004,Tier 2,Supermarket Type1,2956.15
DRC13,8.26,Regular,0.032625074,Soft Drinks,124.67,OUT017,2007,Tier 2,Supermarket Type1,1847.6
DRC13,8.26,Regular,0.032573725,Soft Drinks,125.07,OUT018,2009,Tier 3,Supermarket Type2,985.38
DRC13,8.26,Regular,0.066132029,Soft Drinks,122.57,OUT045,2002,Tier 2,Supermarket Type1,739.04
DRC24,17.85,Low fat,0.024961677,Soft Drinks,153.2,OUT017,2007,Tier 2,Supermarket Type1,3383.6
DRC24,17.85,Low fat,0.02492239,Soft Drinks,153.5,OUT018,2009,Tier 3,Supermarket Type2,2922.2
DRC25,5.73,Low fat,0.045463871,Soft Drinks,85.29,OUT045,2002,Tier 2,Supermarket Type1,2061.32
DRC25,5.73,Low fat,0.045334098,Soft Drinks,87.09,OUT013,1987,Tier 3,Supermarket Type1,1803.65
DRC25,5.73,Low fat,0.066132029,Soft Drinks,87.39,OUT027,1985,Tier 3,Supermarket Type3,1374.21
DRC25,5.73,Low fat,0.045556681,Soft Drinks,85.39,OUT018,2009,Tier 3,Supermarket Type2,1288.32
DRC25,5.73,Low fat,0.045371855,Soft Drinks,86.09,OUT046,1997,Tier 1,Supermarket Type1,1116.55
DRC25,5.73,Low fat,0.075943184,Soft Drinks,85.59,OUT010,1998,Tier 3,Grocery Store,171.78
DRC25,5.73,Low fat,0.079440262,Soft Drinks,86.79,OUT019,1985,Tier 1,Grocery Store,85.89
DRC27,13.8,Low fat,0.058192802,Dairy,246.98,OUT049,1999,Tier 1,Supermarket Type1,5896.32
DRC27,13.8,Low fat,0.058091482,Dairy,245.18,OUT035,2004,Tier 2,Supermarket Type1,5650.64
DRC27,13.8,Low fat,0.05843112,Dairy,243.68,OUT017,2007,Tier 2,Supermarket Type1,1965.44
DRC27,13.8,Low fat,0.058220302,Dairy,247.48,OUT045,2002,Tier 2,Supermarket Type1,1474.08
DRC27,13.8,Low fat,0.058339153,Dairy,246.28,OUT018,2009,Tier 3,Supermarket Type2,1228.4
DRC27,13.8,Low fat,0.097251621,Dairy,245.78,OUT010,1998,Tier 3,Grocery Store,245.68
DRC36,13,Regular,0.044767032,Soft Drinks,173.71,OUT027,1985,Tier 3,Supermarket Type3,5778.48
DRC36,13,Regular,0.045239326,Soft Drinks,174.11,OUT017,2007,Tier 2,Supermarket Type1,4377.64
DRC36,13,Regular,0.044984874,Soft Drinks,175.01,OUT046,1997,Tier 1,Supermarket Type1,1926.16
DRC36,13,Regular,0.066132029,Soft Drinks,173.61,OUT013,1987,Tier 3,Supermarket Type1,1751.05
DRC36,13,Low fat,0.044976367,Soft Drinks,176.21,OUT035,2004,Tier 2,Supermarket Type1,1225.74
DRC49,8.67,Low fat,0.065119701,Soft Drinks,145.71,OUT027,1985,Tier 3,Supermarket Type3,4026.76
DRC49,8.67,Low fat,0.065424208,Soft Drinks,145.81,OUT035,2004,Tier 2,Supermarket Type1,2444.82
DRC49,8.67,Low fat,0.065436581,Soft Drinks,142.91,OUT046,1997,Tier 1,Supermarket Type1,2013.38
DRD01,12.1,Regular,0.061521569,Soft Drinks,55.86,OUT017,2007,Tier 2,Supermarket Type1,1436.8
DRD01,12.1,Regular,0.061424738,Soft Drinks,56.76,OUT018,2009,Tier 3,Supermarket Type2,1049.97
DRD01,12.1,Regular,0.061163967,Soft Drinks,56.56,OUT035,2004,Tier 2,Supermarket Type1,828.92
DRD01,12.1,Regular,0.061299601,Soft Drinks,56.26,OUT045,2002,Tier 2,Supermarket Type1,552.61
DRD01,12.1,Regular,0.061270647,Soft Drinks,53.26,OUT049,1999,Tier 1,Supermarket Type1,386.83
DRD12,6.96,Low fat,0.066132029,Soft Drinks,89.41,OUT027,1985,Tier 3,Supermarket Type3,2645.22
DRD12,6.96,Low fat,0.077178965,Soft Drinks,93.11,OUT035,2004,Tier 2,Supermarket Type1,2189.15
DRD12,6.96,Low fat,0.077129323,Soft Drinks,92.71,OUT013,1987,Tier 3,Supermarket Type1,1733.08
DRD12,6.96,Low fat,0.077630199,Soft Drinks,90.91,OUT017,2007,Tier 2,Supermarket Type1,1459.43
DRD12,6.96,Low fat,0.077193561,Soft Drinks,89.91,OUT046,1997,Tier 1,Supermarket Type1,1277
DRD12,6.96,Low fat,0.077508015,Soft Drinks,92.31,OUT018,2009,Tier 3,Supermarket Type2,1094.58
DRD12,6.96,Low fat,0.077350112,Soft Drinks,91.41,OUT045,2002,Tier 2,Supermarket Type1,638.5
DRD13,15,Low fat,0.048841794,Soft Drinks,64.72,OUT027,1985,Tier 3,Supermarket Type3,3068.01
DRD13,15,Low fat,0.049038621,Soft Drinks,65.42,OUT013,1987,Tier 3,Supermarket Type1,1661.84
DRD13,15,Low fat,0.049357077,Soft Drinks,62.62,OUT017,2007,Tier 2,Supermarket Type1,958.75
DRD13,15,Low fat,0.049155769,Soft Drinks,65.22,OUT049,1999,Tier 1,Supermarket Type1,958.75
DRD13,15,Low fat,0.049070183,Soft Drinks,61.92,OUT035,2004,Tier 2,Supermarket Type1,767
DRD13,15,Low fat,0.049178998,Soft Drinks,65.62,OUT045,2002,Tier 2,Supermarket Type1,639.17
DRD13,15,Low fat,0.049279392,Soft Drinks,65.72,OUT018,2009,Tier 3,Supermarket Type2,575.25
DRD15,10.6,Low fat,0.056748659,Dairy,233.66,OUT013,1987,Tier 3,Supermarket Type1,3950.19
DRD15,10.6,Low fat,0.056911107,Dairy,233.96,OUT045,2002,Tier 2,Supermarket Type1,3717.83
DRD15,10.6,Low fat,0.056795923,Dairy,232.86,OUT046,1997,Tier 1,Supermarket Type1,3485.46
DRD15,10.6,Low fat,0.056884225,Dairy,231.96,OUT049,1999,Tier 1,Supermarket Type1,3020.73
DRD15,10.6,Low fat,0.056785183,Dairy,231.96,OUT035,2004,Tier 2,Supermarket Type1,2091.28
DRD15,10.6,Low fat,0.095064731,Dairy,232.46,OUT010,1998,Tier 3,Grocery Store,697.09
DRD15,10.6,Low fat,0.099442329,Dairy,233.16,OUT019,1985,Tier 1,Grocery Store,697.09
DRD24,13.85,Low fat,0.030769458,Soft Drinks,141.72,OUT013,1987,Tier 3,Supermarket Type1,2978.12
DRD24,13.85,Low fat,0.030645958,Soft Drinks,141.72,OUT027,1985,Tier 3,Supermarket Type3,2694.49
DRD24,13.85,Low fat,0.030842963,Soft Drinks,143.12,OUT049,1999,Tier 1,Supermarket Type1,2552.68
DRD24,13.85,Low fat,0.030795085,Soft Drinks,143.32,OUT046,1997,Tier 1,Supermarket Type1,1985.42
DRD24,13.85,Low fat,0.030969274,Soft Drinks,140.92,OUT017,2007,Tier 2,Supermarket Type1,1701.78
DRD24,13.85,Low fat,0.030920531,Soft Drinks,141.02,OUT018,2009,Tier 3,Supermarket Type2,1701.78
DRD24,13.85,Low fat,0.051544658,Soft Drinks,142.52,OUT010,1998,Tier 3,Grocery Store,141.82
DRD25,6.135,Low fat,0.079132212,Soft Drinks,112.69,OUT045,2002,Tier 2,Supermarket Type1,2942.84
DRD25,6.135,Low fat,0.078589629,Soft Drinks,113.29,OUT027,1985,Tier 3,Supermarket Type3,2716.46
DRD25,6.135,Low fat,0.066132029,Soft Drinks,114.29,OUT046,1997,Tier 1,Supermarket Type1,2376.91
DRD25,6.135,Low fat,0.079293753,Soft Drinks,111.29,OUT018,2009,Tier 3,Supermarket Type2,2263.72
DRD25,6.135,Low fat,0.078957122,Soft Drinks,111.99,OUT035,2004,Tier 2,Supermarket Type1,1697.79
DRD25,6.135,Low fat,0.079094835,Soft Drinks,114.39,OUT049,1999,Tier 1,Supermarket Type1,1018.67
DRD25,6.135,Low fat,0.132183029,Soft Drinks,115.09,OUT010,1998,Tier 3,Grocery Store,452.74
DRD25,6.135,Low fat,0.138269873,Soft Drinks,111.69,OUT019,1985,Tier 1,Grocery Store,452.74
DRD27,18.75,Low fat,0.023876985,Dairy,97.4,OUT049,1999,Tier 1,Supermarket Type1,2281.7
DRD27,18.75,Low fat,0.066132029,Dairy,97.9,OUT045,2002,Tier 2,Supermarket Type1,1686.47
DRD27,18.75,Low fat,0.023820082,Dairy,97.6,OUT013,1987,Tier 3,Supermarket Type1,1488.06
DRD27,18.75,Low fat,0.023974769,Dairy,99,OUT017,2007,Tier 2,Supermarket Type1,694.43
DRD27,18.75,Low fat,0.041740624,Dairy,98.3,OUT019,1985,Tier 1,Grocery Store,198.41
DRD37,9.8,Low fat,0.013863257,Soft Drinks,45.11,OUT049,1999,Tier 1,Supermarket Type1,1398.18
DRD37,9.8,Low fat,0.013830218,Soft Drinks,45.31,OUT013,1987,Tier 3,Supermarket Type1,1304.97
DRD37,9.8,Low fat,0.013841737,Soft Drinks,45.21,OUT046,1997,Tier 1,Supermarket Type1,1211.76
DRD37,9.8,Low fat,0.013869809,Soft Drinks,47.41,OUT045,2002,Tier 2,Supermarket Type1,978.73
DRD37,9.8,Low fat,0.013920032,Soft Drinks,45.01,OUT017,2007,Tier 2,Supermarket Type1,792.3
DRD37,9.8,Low fat,0.013898123,Soft Drinks,46.51,OUT018,2009,Tier 3,Supermarket Type2,372.85
DRD37,9.8,Low fat,0.02316823,Soft Drinks,47.51,OUT010,1998,Tier 3,Grocery Store,186.42
DRD49,9.895,Low fat,0.167799329,Soft Drinks,239.46,OUT035,2004,Tier 2,Supermarket Type1,5243.84
DRD49,9.895,Low fat,0.168780385,Soft Drinks,236.86,OUT017,2007,Tier 2,Supermarket Type1,4767.13
DRD49,9.895,Low fat,0.16817143,Soft Drinks,237.76,OUT045,2002,Tier 2,Supermarket Type1,3813.7
DRD49,9.895,Low fat,0.167831064,Soft Drinks,237.46,OUT046,1997,Tier 1,Supermarket Type1,715.07
DRD60,15.7,Low fat,0.03723211,Soft Drinks,183.16,OUT046,1997,Tier 1,Supermarket Type1,5634.67
DRD60,15.7,Low fat,0.037289996,Soft Drinks,182.76,OUT049,1999,Tier 1,Supermarket Type1,3453.5
DRD60,15.7,Low fat,0.037201127,Soft Drinks,181.76,OUT013,1987,Tier 3,Supermarket Type1,2544.69
DRD60,15.7,Low fat,0.03722507,Soft Drinks,182.46,OUT035,2004,Tier 2,Supermarket Type1,1999.4
DRD60,15.7,Low fat,0.037383778,Soft Drinks,179.76,OUT018,2009,Tier 3,Supermarket Type2,1817.63
DRD60,15.7,Low fat,0.065188619,Soft Drinks,181.16,OUT019,1985,Tier 1,Grocery Store,181.76
DRE01,10.1,Low fat,0.167155198,Soft Drinks,241.75,OUT046,1997,Tier 1,Supermarket Type1,5331.73
DRE01,10.1,Low fat,0.279783532,Soft Drinks,241.85,OUT010,1998,Tier 3,Grocery Store,484.7
DRE03,19.6,Low fat,0.024264569,Dairy,46.57,OUT049,1999,Tier 1,Supermarket Type1,1607.24
DRE03,19.6,Low fat,0.024222321,Dairy,45.57,OUT035,2004,Tier 2,Supermarket Type1,945.44
DRE03,19.6,Low fat,0.024363939,Dairy,46.37,OUT017,2007,Tier 2,Supermarket Type1,661.81
DRE03,19.6,Low fat,0.024276035,Dairy,45.37,OUT045,2002,Tier 2,Supermarket Type1,614.53
DRE03,19.6,Low fat,0.024325592,Dairy,48.57,OUT018,2009,Tier 3,Supermarket Type2,425.45
DRE03,19.6,Low fat,0.024226902,Dairy,48.77,OUT046,1997,Tier 1,Supermarket Type1,236.36
DRE03,19.6,Low fat,0.040550868,Dairy,45.57,OUT010,1998,Tier 3,Grocery Store,47.27
DRE12,4.59,Low fat,0.0704378,Soft Drinks,112.89,OUT027,1985,Tier 3,Supermarket Type3,2942.84
DRE12,4.59,Low fat,0.070890602,Soft Drinks,111.69,OUT049,1999,Tier 1,Supermarket Type1,1584.6
DRE12,4.59,Low fat,0.070721656,Soft Drinks,113.29,OUT013,1987,Tier 3,Supermarket Type1,1471.42
DRE12,4.59,Low fat,0.070780558,Soft Drinks,114.59,OUT046,1997,Tier 1,Supermarket Type1,1245.05
DRE12,4.59,Low fat,0.066132029,Soft Drinks,111.19,OUT045,2002,Tier 2,Supermarket Type1,1245.05
DRE12,4.59,Low fat,0.070767174,Soft Drinks,111.99,OUT035,2004,Tier 2,Supermarket Type1,792.3
DRE13,6.28,Low fat,0.027570939,Soft Drinks,86.62,OUT027,1985,Tier 3,Supermarket Type3,2529.37
DRE13,6.28,Low fat,0.027682047,Soft Drinks,85.52,OUT013,1987,Tier 3,Supermarket Type1,1744.4
DRE13,6.28,Low fat,0.027748176,Soft Drinks,86.52,OUT049,1999,Tier 1,Supermarket Type1,1395.52
DRE13,6.28,Low fat,0.027699863,Soft Drinks,87.92,OUT035,2004,Tier 2,Supermarket Type1,1221.08
DRE13,6.28,Low fat,0.027761289,Soft Drinks,85.82,OUT045,2002,Tier 2,Supermarket Type1,872.2
DRE15,13.35,Low fat,0.017857847,Dairy,77.5,OUT018,2009,Tier 3,Supermarket Type2,1518.02
DRE15,13.35,Low fat,0.066132029,Dairy,75.7,OUT017,2007,Tier 2,Supermarket Type1,1442.12
DRE15,13.35,Low fat,0.017821466,Dairy,75.1,OUT045,2002,Tier 2,Supermarket Type1,1366.22
DRE15,13.35,Low fat,0.01769927,Dairy,74.2,OUT027,1985,Tier 3,Supermarket Type3,1290.32
DRE15,13.35,Low fat,0.066132029,Dairy,77.6,OUT046,1997,Tier 1,Supermarket Type1,986.72
DRE15,13.35,Low fat,0.031139933,Dairy,74.8,OUT019,1985,Tier 1,Grocery Store,303.6
DRE25,15.35,Low fat,0.073397129,Soft Drinks,91.91,OUT049,1999,Tier 1,Supermarket Type1,2609.94
DRE25,15.35,Low fat,0.073283193,Soft Drinks,91.81,OUT046,1997,Tier 1,Supermarket Type1,1771.03
DRE25,15.35,Low fat,0.072928316,Soft Drinks,94.41,OUT027,1985,Tier 3,Supermarket Type3,1304.97
DRE25,15.35,Low fat,0.073269336,Soft Drinks,92.11,OUT035,2004,Tier 2,Supermarket Type1,1118.54
DRE25,15.35,Low fat,0.073697713,Soft Drinks,91.91,OUT017,2007,Tier 2,Supermarket Type1,559.27
DRE27,11.85,Low fat,0.132939639,Dairy,98.07,OUT045,2002,Tier 2,Supermarket Type1,1761.71
DRE27,11.85,Low fat,0.132645493,Dairy,96.97,OUT035,2004,Tier 2,Supermarket Type1,1174.47
DRE27,11.85,Low fat,0.132876847,Dairy,98.07,OUT049,1999,Tier 1,Supermarket Type1,1076.6
DRE27,11.85,Low fat,0.13267058,Dairy,96.47,OUT046,1997,Tier 1,Supermarket Type1,978.73
DRE27,11.85,Low fat,0.132560174,Dairy,97.27,OUT013,1987,Tier 3,Supermarket Type1,782.98
DRE27,11.85,Low fat,0.222063351,Dairy,99.67,OUT010,1998,Tier 3,Grocery Store,195.75
DRE37,13.5,Low fat,0.094603404,Soft Drinks,187.09,OUT018,2009,Tier 3,Supermarket Type2,3214.48
DRE37,13.5,Low fat,0.094366079,Soft Drinks,190.99,OUT049,1999,Tier 1,Supermarket Type1,2836.31
DRE37,13.5,Low fat,0.066132029,Soft Drinks,189.19,OUT035,2004,Tier 2,Supermarket Type1,1890.87
DRE37,13.5,Low fat,0.094219593,Soft Drinks,189.99,OUT046,1997,Tier 1,Supermarket Type1,1323.61
DRE37,13.5,Low fat,0.164966345,Soft Drinks,189.49,OUT019,1985,Tier 1,Grocery Store,189.09
DRE48,8.43,Low fat,0.01724183,Soft Drinks,197.08,OUT027,1985,Tier 3,Supermarket Type3,8868.46
DRE48,8.43,Low fat,0.017396308,Soft Drinks,196.08,OUT018,2009,Tier 3,Supermarket Type2,4138.61
DRE48,8.43,Low fat,0.017311312,Soft Drinks,197.88,OUT013,1987,Tier 3,Supermarket Type1,3744.46
DRE48,8.43,Low fat,0.017322454,Soft Drinks,196.88,OUT035,2004,Tier 2,Supermarket Type1,3350.31
DRE48,8.43,Low fat,0.017360867,Soft Drinks,196.28,OUT045,2002,Tier 2,Supermarket Type1,1576.61
DRE48,8.43,Low fat,0.066132029,Soft Drinks,195.38,OUT017,2007,Tier 2,Supermarket Type1,1576.61
DRE48,8.43,Low fat,0.01732573,Soft Drinks,197.98,OUT046,1997,Tier 1,Supermarket Type1,1182.46
DRE49,20.75,Low fat,0.066132029,Soft Drinks,153.8,OUT027,1985,Tier 3,Supermarket Type3,7741.92
DRE49,20.75,Low fat,0.021293097,Soft Drinks,151.9,OUT045,2002,Tier 2,Supermarket Type1,2732.44
DRE49,20.75,Low fat,0.021250002,Soft Drinks,150.5,OUT046,1997,Tier 1,Supermarket Type1,2580.64
DRE49,20.75,Low fat,0.066132029,Soft Drinks,153,OUT035,2004,Tier 2,Supermarket Type1,2428.84
DRE49,20.75,Low fat,0.02128304,Soft Drinks,153.5,OUT049,1999,Tier 1,Supermarket Type1,2428.84
DRE49,20.75,Low fat,0.021232318,Soft Drinks,151.1,OUT013,1987,Tier 3,Supermarket Type1,2428.84
DRE49,20.75,Low fat,0.021370201,Soft Drinks,153,OUT017,2007,Tier 2,Supermarket Type1,2277.04
DRE49,20.75,Low fat,0.021336565,Soft Drinks,153.6,OUT018,2009,Tier 3,Supermarket Type2,1366.22
DRE49,20.75,Low fat,0.035568147,Soft Drinks,151.8,OUT010,1998,Tier 3,Grocery Store,151.8
DRE60,9.395,Low fat,0.159657596,Soft Drinks,224.97,OUT045,2002,Tier 2,Supermarket Type1,7696.65
DRE60,9.395,Low fat,0.159582185,Soft Drinks,224.77,OUT049,1999,Tier 1,Supermarket Type1,7017.53
DRE60,9.395,Low fat,0.159304333,Soft Drinks,226.17,OUT035,2004,Tier 2,Supermarket Type1,3848.32
DRE60,9.395,Low fat,0.159201868,Soft Drinks,226.07,OUT013,1987,Tier 3,Supermarket Type1,3621.95
DRE60,9.395,Low fat,0.160235723,Soft Drinks,227.87,OUT017,2007,Tier 2,Supermarket Type1,1584.6
DRE60,9.395,Low fat,0.278974075,Soft Drinks,225.37,OUT019,1985,Tier 1,Grocery Store,679.12
DRF01,5.655,Low fat,0.175352413,Soft Drinks,147.41,OUT049,1999,Tier 1,Supermarket Type1,2478.77
DRF01,5.655,Low fat,0.175047104,Soft Drinks,146.91,OUT035,2004,Tier 2,Supermarket Type1,1895.53
DRF01,5.655,Low fat,0.174934513,Soft Drinks,145.01,OUT013,1987,Tier 3,Supermarket Type1,1895.53
DRF01,5.655,Low fat,0.174232377,Soft Drinks,146.61,OUT027,1985,Tier 3,Supermarket Type3,1895.53
DRF01,5.655,Low fat,0.176070535,Soft Drinks,144.01,OUT017,2007,Tier 2,Supermarket Type1,1749.72
DRF01,5.655,Low fat,0.175793413,Soft Drinks,146.91,OUT018,2009,Tier 3,Supermarket Type2,1749.72
DRF01,5.655,Low fat,0.066132029,Soft Drinks,147.51,OUT046,1997,Tier 1,Supermarket Type1,1166.48
DRF01,5.655,Low fat,0.306542848,Soft Drinks,147.31,OUT019,1985,Tier 1,Grocery Store,291.62
DRF03,19.1,Low fat,0.045088724,Dairy,39.71,OUT027,1985,Tier 3,Supermarket Type3,1096.57
DRF03,19.1,Low fat,0.045270426,Dairy,38.81,OUT013,1987,Tier 3,Supermarket Type1,731.05
DRF03,19.1,Low fat,0.045400017,Dairy,38.81,OUT045,2002,Tier 2,Supermarket Type1,690.43
DRF03,19.1,Low fat,0.045308131,Dairy,42.51,OUT046,1997,Tier 1,Supermarket Type1,649.82
DRF03,19.1,Low fat,0.045492697,Dairy,40.31,OUT018,2009,Tier 3,Supermarket Type2,527.98
DRF03,19.1,Low fat,0.045299563,Dairy,38.81,OUT035,2004,Tier 2,Supermarket Type1,365.52
DRF03,19.1,Low fat,0.045378573,Dairy,42.41,OUT049,1999,Tier 1,Supermarket Type1,243.68
DRF03,19.1,Low fat,0.075836522,Dairy,40.21,OUT010,1998,Tier 3,Grocery Store,81.23
DRF13,12.1,Low fat,0.029949818,Soft Drinks,146.34,OUT017,2007,Tier 2,Supermarket Type1,3773.75
DRF13,12.1,Low fat,0.02984176,Soft Drinks,144.44,OUT045,2002,Tier 2,Supermarket Type1,3628.61
DRF13,12.1,Low fat,0.066132029,Soft Drinks,145.14,OUT013,1987,Tier 3,Supermarket Type1,3338.32
DRF13,12.1,Low fat,0.029827665,Soft Drinks,144.34,OUT049,1999,Tier 1,Supermarket Type1,2612.6
DRF13,12.1,Low fat,0.029781363,Soft Drinks,146.94,OUT046,1997,Tier 1,Supermarket Type1,1596.59
DRF13,12.1,Low fat,0.029902679,Soft Drinks,144.34,OUT018,2009,Tier 3,Supermarket Type2,1161.16
DRF15,18.35,Low fat,0.03334929,Dairy,155.03,OUT018,2009,Tier 3,Supermarket Type2,1990.74
DRF15,18.35,Low fat,0.03321399,Dairy,154.93,OUT046,1997,Tier 1,Supermarket Type1,1225.07
DRF15,18.35,Low fat,0.066132029,Dairy,151.93,OUT013,1987,Tier 3,Supermarket Type1,306.27
DRF15,18.35,Low fat,0.058153409,Dairy,152.03,OUT019,1985,Tier 1,Grocery Store,306.27
